level_id,locale,tier,learning_objective,correctness_review,language_review,age_review,cultural_review,accessibility_review,reviewer,review_date,status,notes
pd-lv001,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv001,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv002,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv002,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv003,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv003,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv004,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv004,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv005,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv005,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv006,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv006,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv007,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv007,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv008,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv008,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv009,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv009,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv010,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv010,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv011,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv011,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv012,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv012,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv013,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv013,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv014,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv014,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv015,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv015,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv016,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv016,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv017,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv017,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv018,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv018,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv019,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv019,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv020,en,junior,visual observation and matching,,,,,,,,pending,
pd-lv020,vi,junior,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv021,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv021,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv022,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv022,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv023,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv023,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv024,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv024,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv025,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv025,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv026,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv026,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv027,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv027,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv028,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv028,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv029,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv029,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv030,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv030,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv031,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv031,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv032,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv032,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv033,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv033,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv034,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv034,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv035,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv035,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv036,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv036,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv037,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv037,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv038,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv038,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv039,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv039,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv040,en,explorer,visual observation and matching,,,,,,,,pending,
pd-lv040,vi,explorer,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv041,en,master,visual observation and matching,,,,,,,,pending,
pd-lv041,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv042,en,master,visual observation and matching,,,,,,,,pending,
pd-lv042,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv043,en,master,visual observation and matching,,,,,,,,pending,
pd-lv043,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv044,en,master,visual observation and matching,,,,,,,,pending,
pd-lv044,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv045,en,master,visual observation and matching,,,,,,,,pending,
pd-lv045,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv046,en,master,visual observation and matching,,,,,,,,pending,
pd-lv046,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv047,en,master,visual observation and matching,,,,,,,,pending,
pd-lv047,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv048,en,master,visual observation and matching,,,,,,,,pending,
pd-lv048,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv049,en,master,visual observation and matching,,,,,,,,pending,
pd-lv049,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv050,en,master,visual observation and matching,,,,,,,,pending,
pd-lv050,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv051,en,master,visual observation and matching,,,,,,,,pending,
pd-lv051,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv052,en,master,visual observation and matching,,,,,,,,pending,
pd-lv052,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv053,en,master,visual observation and matching,,,,,,,,pending,
pd-lv053,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv054,en,master,visual observation and matching,,,,,,,,pending,
pd-lv054,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv055,en,master,visual observation and matching,,,,,,,,pending,
pd-lv055,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv056,en,master,visual observation and matching,,,,,,,,pending,
pd-lv056,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv057,en,master,visual observation and matching,,,,,,,,pending,
pd-lv057,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv058,en,master,visual observation and matching,,,,,,,,pending,
pd-lv058,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv059,en,master,visual observation and matching,,,,,,,,pending,
pd-lv059,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
pd-lv060,en,master,visual observation and matching,,,,,,,,pending,
pd-lv060,vi,master,quan sát hình ảnh và ghép cặp,,,,,,,,pending,
cb-lv001,en,junior,color classification,,,,,,,,pending,
cb-lv001,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv002,en,junior,color classification,,,,,,,,pending,
cb-lv002,vi,junior,phân loại màu sắc,,,,,,,,pending,
cb-lv003,en,junior,color classification,,,,,,,,pending,
