level_id,locale,tier,learning_objective,correctness_review,language_review,age_review,cultural_review,accessibility_review,reviewer,review_date,status,notes
sb-lv001,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv001,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv002,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv002,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv003,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv003,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv004,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv004,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv005,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv005,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv006,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv006,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv007,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv007,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv008,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv008,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv009,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv009,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv010,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv010,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv011,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv011,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv012,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv012,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv013,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv013,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv014,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv014,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv015,en,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv015,vi,1,spatial reasoning,,,,,,,,pending_human_review,
sb-lv016,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv016,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv017,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv017,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv018,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv018,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv019,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv019,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv020,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv020,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv021,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv021,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv022,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv022,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv023,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv023,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv024,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv024,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv025,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv025,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv026,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv026,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv027,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv027,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv028,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv028,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv029,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv029,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv030,en,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv030,vi,2,spatial reasoning,,,,,,,,pending_human_review,
sb-lv031,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv031,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv032,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv032,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv033,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv033,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv034,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv034,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv035,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv035,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv036,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv036,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv037,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv037,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv038,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv038,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv039,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv039,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv040,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv040,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv041,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv041,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv042,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv042,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv043,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv043,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv044,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv044,vi,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv045,en,3,spatial reasoning,,,,,,,,pending_human_review,
sb-lv045,vi,3,spatial reasoning,,,,,,,,pending_human_review,
