level_id,locale,tier,learning_objective,correctness_review,language_review,age_review,cultural_review,accessibility_review,reviewer,review_date,status,notes
ws-lv001,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv001,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv002,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv002,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv003,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv003,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv004,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv004,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv005,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv005,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv006,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv006,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv007,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv007,en,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
ws-lv008,vi,1,vocabulary_and_language_classification,pending_human_review,pending_human_review,pending_human_review,pending_human_review,pending_human_review,,,pending,
